cosine similarity,target word
0.5757014431332572,positive
0.571624221964355,strong
0.5414602747399682,old
0.5367365668095234,good
0.5347839496462795,strong
0.5303536555394488,other
0.5269694942579157,old
0.5259162041482155,much
0.5253082299663974,other
0.5247208849750139,strong
0.5233273312742959,more
0.5230990830634672,hard
0.5220270220221497,fresh
0.5218823331015254,strong
0.5202773311845256,other
0.5198759743267267,huge
0.5194129820032627,old
0.5172064641382008,back
0.5171922017419606,good
0.517011287502254,many
0.5166234553618829,classic
0.5165943954912389,other
0.516402928138544,back
0.5159727780754755,other
0.515885450845581,more
0.515771360961094,back
0.5154961753740952,hard
0.5149085439037955,other
0.5133016053105045,other
0.5129219022534243,back
0.5125619321411595,other
0.5119952133939649,many
0.5117568131508939,old
0.5115351606508475,strong
0.5110184410881132,hard
0.5093139014025907,serious
0.5090864207852783,strong
0.5089581415459274,first
0.5087529951074421,extra
0.5071820248003271,back
0.5068004071376702,good
0.5052311634486852,good
0.5047525249521636,more
0.5044908780028876,old
0.5036428645972397,strong
0.5032542754385663,better
0.5030622336942739,steady
0.502991602774178,other
0.5025534758191188,strong
0.5023506366534891,other
0.50232552544361,other
0.5022522055644436,physical
0.5017722250333438,other
0.5016179450811392,hard
0.5010481287719186,other
0.4999320835771853,other
0.49991251335958925,other
0.49979692397165704,hard
0.4995624089259448,strong
0.4993591591472781,more
0.49911685922831583,much
0.4988793998906053,other
0.49854150047684515,old
0.4984352274477753,old
0.49839762608883986,other
0.4981934899042183,first
0.4973380194024185,enough
0.496673344286378,other
0.49659244086723275,other
0.49655524785377736,happy
0.4957723226626227,ultimate
0.49556303198007406,more
0.4952710956282818,back
0.49518991151306885,most
0.49459604768044446,old
0.4944443893922314,back
0.49434788408909325,strong
0.4939307617726097,old
0.4935033626577871,first
0.4930738315356739,back
0.4927428741853396,young
0.49236212854795497,fellow
0.4923549706447744,other
0.4918310554318557,more
0.4917797571808039,old
0.4917311140333823,other
0.49150294725314836,more
0.491461257648227,hard
0.49049766936341016,more
0.49044560636764944,most
0.4901548994139148,most
0.489979740439909,green
0.48987335799273113,many
0.4898601048663449,impressive
0.48968931573760177,strong
0.48968301105316475,other
0.489445848215458,most
0.48940960122419286,first
0.48939898585348895,old
0.48931596588728576,first
0.48898430852660496,back
0.48843617891205915,back
0.4883864867525144,other
0.4882798590187669,new
0.4881020590171376,more
0.4878756750355949,back
0.487875186923552,big
0.4876235988990938,first
0.48760223649557005,more
0.4873607251597665,strong
0.4873465100189893,back
0.487284663818597,first
0.4871350102657701,best
0.48655851824049934,back
0.486441930773215,most
0.4862563780437074,able
0.4861596764859777,other
0.48585150411394273,other
0.48575762937484235,able
0.4856197211347646,personal
0.4853946708975659,long
0.4853781406308314,most
0.4853630829795637,early
0.4848492364040416,first
0.48463590002193396,strong
0.48461351886239556,first
0.48456822946737077,strong
0.48432040546041244,strong
0.4839787252903472,comfortable
0.48396370282472345,more
0.4837561630513828,much
0.4836529211653157,strong
0.48347486621456237,old
0.48336780676633884,many
0.4833490295924877,strong
0.483282773553512,other
0.4830976382377669,able
0.48251234618639965,many
0.48247780603144264,first
0.4824744615152096,more
0.482473842743507,right
0.4824043170333867,first
0.48236258759784467,back
0.4821286854651353,first
0.4819754964856673,human
0.48161326292318923,many
0.48157516493162195,back
0.48153426307788205,back
0.48152333239740763,more
0.48132607525732707,first
0.48122080473079953,first
0.48114984686109147,more
0.48094411675259485,strong
0.4809068214530356,back
0.48090051749307516,favorite
0.48089230614868733,young
0.48076599385214747,good
0.48059285964009574,ultimate
0.4805689912601792,old
0.4804214571376355,green
0.4803954879325726,clear
0.4802086173919362,other
0.4801236650168939,individual
0.47994982056402924,popular
0.479946813488467,more
0.47976937136103354,right
0.47964364420836886,most
0.4793545009002982,happy
0.47917145463364696,able
0.4791687656904863,back
0.47912505744991674,other
