text
"['need', 'know', 'running', 'diabetes']"
"['best', 'fitness', 'gift', 'athletic', 'friend']"
"['top', 'scientist', 'dispel', 'myth', 'woman', 'sport']"
"['best', 'gift', 'ultrarunners']"
"['best', 'gift', 'dog', 'lover', 'furry', 'friend']"
"['keto', 'diet', 'smart', 'choice', 'runner']"
"['best', 'gift', 'active', 'kid']"
"['marathoner', 'dakotah', 'lindwurm', 'connects', 'boy', 'inspired', 'olympics']"
"['best', 'gift', 'subscription', 'box', 'runner']"
"['best', 'gift', 'triathletes']"
"['run', 'pole', 'according', 'pro', 'mountain', 'runner']"
"['unique', 'gift', 'idea', 'runner', 'entrepreneur']"
"['best', 'kitchen', 'gift', 'foodie', 'life']"
"['best', 'running', 'gift', 'buy', 'husband']"
"['best', 'yoga', 'pose', 'menstrual', 'cramp']"
"['ultrarunner', 'nedd', 'brockmann', 'ran', 'mile', 'day', 'around', 'single', 'track']"
"['best', 'gift', 'cat', 'lover', 'feline', 'friend']"
"['want', 'run', 'ultra', 'trail', 'averse', 'try', 'new', 'shoe', 'brand', 'mount', 'coast']"
"['best', 'cookbook', 'runner', 'love', 'good', 'food']"
"['best', 'gift', 'yoga', 'lover', 'improve', 'flow']"
"['drinking', 'water', 'wrong']"
"['train', 'long', 'run', 'like', 'david', 'roche']"
"['best', 'vegan', 'gift', 'active', 'person', 'life']"
"['best', 'hydration', 'pack', 'keep', 'going', 'next', 'long', 'run']"
"['train', 'fuel', 'plan', 'recovery', 'ultramarathon']"
"['best', 'gift', 'new', 'runner']"
"['book', 'runner', 'get', 'excited']"
"['watch', 'jim', 'walmsley', 'attempt', 'fail', 'hardrock', 'route', 'record']"
"['best', 'gift', 'beer', 'lover', 'brewer']"
"['mastering', 'running', 'age']"
"['best', 'legging', 'phone', 'pocket', 'according', 'testing']"
"['day', 'life', 'one', 'nation', 'fastest', 'miler']"
"['best', 'cheap', 'gift', 'runner', 'already', 'everything']"
"['running', 'related', 'holiday', 'card', 'put', 'skip', 'step']"
"['runner', 'world', 'half', 'marathon', 'marathon', 'calendar']"
"['great', 'gift', 'coffee', 'lover', 'fuel', 'fix']"
"['last', 'minute', 'gift', 'runner']"
"['best', 'hiking', 'apps', 'trail', 'runner']"
"['best', 'gift', 'card', 'runner']"
"['best', 'headlamp', 'runner']"
"['gift', 'etsy', 'every', 'runner', 'want', 'holiday']"
"['plan', 'safe', 'winter', 'trail', 'run', 'plus', 'go']"
"['holiday', 'gift', 'dad', 'run', 'love']"
"['truth', 'perimenopause', 'symptom', 'exercise', 'help', 'find', 'relief']"
"['pro', 'con', 'cushioned', 'running', 'shoe']"
"['dietitian', 'v', 'nutritionist', 'difference']"
"['beginner', 'running', 'tip', 'help', 'kick', 'consistent', 'schedule']"
"['warmup', 'cooldown', 'mile', 'count', 'toward', 'weekly', 'mileage']"
"['coach', 'jess', 'share', 'best', 'advice', 'running', 'strong', 'getting', 'faster', 'staying', 'healthy']"
"['runner', 'went', 'couch', 'month', 'finished', 'major', 'marathon']"
"['walmart', 'epic', 'father', 'day', 'sale', 'includes', 'apple', 'watch', 'fitbit', 'bose', 'headphone']"
"['de', 'linden', 'tip', 'outsmarting', 'marathon']"
"['favorite', 'gift', 'tech', 'savvy', 'runner']"
"['best', 'cyber', 'monday', 'deal', 'runner']"
"['truly', 'know', 'ready', 'exercise', 'postpartum']"
"['best', 'gift', 'runner', 'already', 'favorite', 'pair', 'shoe']"
"['ultrarunner', 'camille', 'herron', 'primary', 'sponsor', 'lululemon', 'drop', 'wikipedia', 'scandal']"
"['best', 'gift', 'tea', 'lover']"
"['mile', 'day', 'shower', 'tara', 'dower', 'destroyed', 'appalachian', 'trail', 'speed', 'record']"
"['best', 'fitness', 'gear', 'buy', 'target']"
"['hut', 'hut', 'running', 'adventure', 'plan', 'one']"
"['make', 'running', 'water', 'bottle', 'easier']"
"['could', 'woman', 'hardwired', 'endurance', 'event']"
"['best', 'self', 'care', 'gift', 'remind', 'loved', 'one', 'health', 'matter']"
"['runner', 'mindset', 'pushing', 'mountain']"
"['important', 'thing', 'remember', 'going', 'road', 'trail']"
"['reason', 'might', 'run', 'squash', 'good']"
"['best', 'book', 'runner']"
"['duo', 'ran', 'mile', 'hour', 'cancer', 'research']"
"['race', 'fuel', 'food', 'actually', 'want', 'eat']"
"['myth', 'run', 'walk', 'method']"
"['runner', 'turned', 'passion', 'social', 'medium', 'business']"
"['best', 'kitchen', 'gadget', 'improve', 'cooking']"
"['better', 'runner']"
"['trail', 'running', 'tip', 'add', 'adventure', 'training']"
"['tested', 'reviewed', 'nnormal', 'kjerag']"
"['way', 'prevent', 'running', 'cramp']"
"['running', 'help', 'ultramarathoner', 'stay', 'sober', 'give', 'back', 'community']"
"['best', 'trail', 'running', 'shoe', 'road', 'runner']"
"['everything', 'master', 'runner', 'need', 'know', 'running', 'age']"
"['molly', 'seidel', 'might', 'always', 'work', 'progress', 'totally', 'ok']"
"['best', 'running', 'headphone', 'jamming', 'jog']"
"['find', 'home', 'overlooked', 'shelter', 'dog', 'run', 'time']"
