word,cluster
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,0
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,3
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,3
second,8
second,3
second,8
second,8
second,8
second,8
second,3
second,8
second,0
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,5
second,8
second,8
second,8
second,8
second,8
second,8
second,5
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,7
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,3
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,5
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,5
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,5
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,7
second,7
second,8
second,5
second,8
second,8
second,8
second,8
second,8
second,5
second,8
second,7
second,5
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,5
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,5
second,5
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,7
second,8
second,8
second,7
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,5
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,0
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,5
second,5
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,5
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,5
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
second,8
first,8
first,1
first,8
first,1
first,0
first,8
first,8
first,8
first,1
first,8
first,3
first,3
first,1
first,8
first,1
first,3
first,8
first,0
first,1
first,8
first,8
first,1
first,8
first,8
first,8
first,8
first,8
first,8
first,3
first,1
first,8
first,3
first,1
first,3
first,1
first,3
first,8
first,8
first,8
first,1
first,0
first,8
first,1
first,8
first,3
first,3
first,8
first,8
first,8
first,3
first,3
first,8
first,8
first,8
first,8
first,8
first,8
first,1
first,8
first,8
first,8
first,0
first,8
first,1
first,8
first,8
first,8
first,8
first,3
first,3
first,8
first,8
first,8
first,1
first,8
first,3
first,1
first,1
first,1
first,8
first,3
first,1
first,8
first,8
first,8
first,1
first,1
first,1
first,3
first,8
first,8
first,8
first,3
first,8
first,8
first,1
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,1
first,8
first,8
first,3
first,3
first,8
first,8
first,8
first,8
first,1
first,8
first,8
first,8
first,8
first,8
first,8
first,0
first,8
first,8
first,1
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,3
first,8
first,1
first,8
first,8
first,8
first,3
first,3
first,0
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,3
first,8
first,0
first,8
first,1
first,1
first,8
first,1
first,8
first,1
first,0
first,8
first,8
first,8
first,8
first,1
first,8
first,8
first,8
first,8
first,8
first,8
first,1
first,1
first,8
first,1
first,1
first,8
first,8
first,8
first,8
first,3
first,1
first,8
first,8
first,1
first,8
first,8
first,8
first,8
first,8
first,8
first,1
first,1
first,0
first,1
first,3
first,8
first,8
first,8
first,8
first,8
first,1
first,8
first,1
first,1
first,3
first,1
first,8
first,8
first,3
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,1
first,8
first,8
first,8
first,8
first,8
first,1
first,8
first,8
first,8
first,1
first,1
first,8
first,8
first,8
first,8
first,1
first,8
first,3
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,3
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,3
first,8
first,8
first,1
first,3
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
first,8
