cosine similarity,target word
0.6439209813757929,female
0.6426919355691139,female
0.6391860312509159,female
0.6120162368794535,female
0.6116293489339273,female
0.610584150192845,female
0.6072187869453938,female
0.6029243070305295,female
0.6010895866440067,female
0.578714167894883,female
0.5776816087711164,female
0.5673577683788154,old
0.5670288272977553,female
0.5657658187680368,female
0.5600375073141612,female
0.5588905895397439,female
0.5505535552986203,female
0.5504622583723189,back
0.549544363692456,female
0.5491353714591385,fellow
0.5465780689310928,strong
0.5461496847894838,female
0.5411704795301915,impressive
0.5342181348170947,young
0.5340349952132735,other
0.5323135528561009,female
0.5316077762625077,female
0.5261674122270958,female
0.5259364380339682,able
0.5216592295328565,other
0.5211272716406732,old
0.5205902090561021,female
0.5192712808922519,long
0.5170704648567618,female
0.5163684800737411,other
0.5158586503895255,old
0.5143083045156807,former
0.5139925774557866,female
0.5134194637080807,old
0.5132481237884079,able
0.5125795294708526,female
0.5125229387404842,first
0.5115587512341384,other
0.5114921949722574,female
0.510451239232887,former
0.5096862696519012,american
0.5089144710934075,back
0.5085535482447202,female
0.5072285683935831,young
0.5045321840853323,other
0.5034137219272504,female
0.5033955903788409,strong
0.5029723959472621,many
0.5016932043386431,female
0.5015693673598718,fast
0.5011693855021967,smooth
0.5008414809996798,other
0.5006859263474104,strong
0.500407901431574,hard
0.49867751897614937,female
0.4981940699811357,young
0.4978260451863167,female
0.49771826127909546,female
0.4976651482420478,american
0.4976185213134049,more
0.4967996457376989,strong
0.496749285946943,female
0.4965246984243908,female
0.4962421850359411,female
0.49423679435533147,strong
0.4942194807292019,solid
0.49383454755888023,incredible
0.4937997590837434,able
0.49366609005508577,strong
0.49338817028323406,female
0.49325882037408053,strong
0.4931795584299914,other
0.49295050879843105,other
0.4928494328604004,healthy
0.4928236388164617,strong
0.49260034476792625,further
0.4924668244946164,incredible
0.4923056020106109,personal
0.4920015738737856,stronger
0.4915803141913251,strong
0.49157393655432247,super
0.49093228231146424,female
0.4907228772052482,old
0.49042268183072757,female
0.49010998380286963,new
0.48948993836441573,steady
0.48933215192966056,consistent
0.4891765571901624,strong
0.4890762488647221,hard
0.48903098543551315,good
0.4888778278036968,incredible
0.48849966873215517,female
0.4877185330718739,strong
0.4865874243706515,former
0.48657282384581413,female
0.486463494008712,strong
0.48555135163640906,incredible
0.4853723245617018,solid
0.4850347499698008,hard
0.4843652193458459,american
0.484295474221298,smooth
0.48403110907229985,incredible
0.4829496484422239,american
0.4826954487627879,back
0.4822793007951987,more
0.4817303559465798,back
0.48168560948016365,other
0.4815565819834208,notable
0.48137274235713473,other
0.4813309868587586,significant
0.48130315955318337,old
0.48125725185188983,first
0.48074599168472876,solid
0.4804018595920296,impressive
0.4803154472011284,strong
0.4795133043411669,notable
0.4793256210807929,other
0.4792764399707808,great
0.47809276860943656,other
0.47799105801375813,late
0.4779850322779519,strong
0.4778530203519399,female
0.47759271181618446,top
0.47758693079273273,incredible
0.47701480325661716,second
0.47614500369130563,hard
0.47594387503093893,best
0.4758039303795837,old
0.4757535823489774,other
0.4757527731001091,other
0.47568436993835506,american
0.4754910228713751,strong
0.47448351362962027,old
0.47438641209900323,strong
0.4742874215866031,strong
0.47425829068548214,other
0.473297292057124,strong
0.47305263483271615,strong
0.4729427129750551,hard
0.4724009240145485,first
0.4722376750251761,great
0.471817805363178,other
0.47173095873786214,latest
0.4713349574678565,hard
0.4709534424576914,strong
0.4706384078597187,strong
0.4705612139343381,back
0.4704419356927767,back
0.47027273170402994,easy
0.4698976082991639,strong
0.46927228495405104,female
0.46906176342448275,top
0.4688216947328966,other
0.4682923632959298,first
0.46802626124862634,able
